83.72,83.7
386.03,386.0
330-337.99,320-389.99
V06.5,V06
216.4,216
831.12,831.1
927,925-929.99
831.14,831.1
E806.2,E806
429.2,429
718.13,718.1
V23.87,V23.8
V23.85,V23.8
21.7,21
E840.8,E840
E840.6,E840
90.82,90.8
01.6,01
804.51,804.5
96.28,96.2
618,617-629.99
804.53,804.5
V58.31,V58.3
V90.81,V90.8
289,280-289.99
188.7,188
78.70,78.7
644.00,644.0
35.51,35.5
646.12,646.1
951.2,951
874.0,874
20.96,20.9
E934.3,E934
715.95,715.9
608.21,608.2
E934.5,E934
7,2
013.01,013.0
945.25,945.2
675.10,675.1
389.15,389.1
205.1,205
716.89,716.8
622.4,622
428.42,428.4
340,340-349.99
33.20,33.2
758.0,758
350.8,350
524.64,524.6
800.32,800.3
916,910-919.99
756.2,756
602.9,602
587,580-589.99
276.50,276.5
707.13,707.1
484.6,484
625.5,625
304.20,304.2
378.15,378.1
342.11,342.1
26.29,26.2
495.9,495
38.39,38.3
410.81,410.8
013.31,013.3
157.9,157
997.61,997.6
87.01,87.0
53.00,53.0
649.22,649.2
058.1,058
669.04,669.0
669.02,669.0
E987,E980-E989.9
633.00,633.0
649.24,649.2
112.81,112.8
89.65,89.6
V76.44,V76.4
251.3,251
174.1,174
35.54,35.5
85.20,85.2
85.36,85.3
51.35,51.3
372.72,372.7
070.53,070.5
01.53,01.5
070.51,070.5
7,6
727.2,727
14.41,14.4
365.03,365.0
780.64,780.6
576,570-579.99
941.36,941.3
524.06,524.0
77.58,77.5
614.5,614
38.9,38
61.91,61.9
144.8,144
824.0,824
451.84,451.8
07.5,07
42.61,42.6
19.6,19
76.62,76.6
646.51,646.5
836.5,836
948.70,948.7
786.07,786.0
461.1,461
121.0,121
786.09,786.0
712.14,712.1
115.91,115.9
115.93,115.9
V25.41,V25.4
V45.59,V45.5
832.2,832
668.81,668.8
488.09,488.0
163.1,163
668.83,668.8
93.3,93
385.1,385
807.5,807
359.81,359.8
15.21,15.2
49.22,49.2
73.2,73
885,880-887.99
674.03,674.0
231.8,231
300.01,300.0
526.0,526
047.1,047
387.2,387
782.9,782
372.14,372.1
012.24,012.2
V13.23,V13.2
364.82,364.8
86.7,86
402.91,402.9
V10.20,V10.2
V59.5,V59
27.91,27.9
V10.22,V10.2
110.0,110
08.61,08.6
590.81,590.8
301.89,301.8
655.71,655.7
640.9,640
708.0,708
800.64,800.6
39.79,39.7
292.81,292.8
132.3,132
41,40-41.99
902.27,902.2
902.29,902.2
800.62,800.6
38.99,38.9
07.59,07.5
739.1,739
719.3,719
771.6,771
874,870-879.99
643.23,643.2
374.1,374
663.03,663.0
354.3,354
718.52,718.5
912.5,912
7,2
995.81,995.8
33.39,33.3
998.8,998
552.02,552.0
874.01,874.0
V88.21,V88.2
706.2,706
94.11,94.1
453.40,453.4
708.3,708
69.95,69.9
719.6,719
E860.1,E860
970.1,970
V54.26,V54.2
803.74,803.7
212.6,212
07.81,07.8
E872.3,E872
07,06-07.99
959.14,959.1
02.34,02.3
923.10,923.1
780.96,780.9
84.65,84.6
813.0,813
343.3,343
670.14,670.1
V56.2,V56
V76.0,V76
85.83,85.8
360.63,360.6
51.82,51.8
807.10,807.1
80.36,80.3
426.51,426.5
746.83,746.8
51.13,51.1
379.92,379.9
363.70,363.7
887,880-887.99
176.4,176
17.7,17
715.30,715.3
753.21,753.2
V23.9,V23
04.8,04
16.9,16
045.02,045.0
191.5,191
716.24,716.2
42.52,42.5
385.12,385.1
20.61,20.6
54.62,54.6
616.5,616
943.36,943.3
011.10,011.1
712.88,712.8
997.49,997.4
011.12,011.1
969.02,969.0
E883,E880-E888.9
053.22,053.2
159.9,159
999.61,999.6
661.40,661.4
51.79,51.7
780-789.99,780-799.99
389.2,389
678.13,678.1
642.11,642.1
E866.8,E866
31.69,31.6
717.40,717.4
210.0,210
368.62,368.6
81.35,81.3
E866.6,E866
27.22,27.2
665,660-669.99
851.55,851.5
851.53,851.5
277.30,277.3
V13.67,V13.6
794.15,794.1
96.06,96.0
145.3,145
00.44,00.4
421.0,421
E951,E950-E959.9
E000.2,E000
665.03,665.0
092.0,092
665.01,665.0
379.06,379.0
876,870-879.99
647.33,647.3
81.95,81.9
E934.8,E934
374.14,374.1
E927.2,E927
873.29,873.2
715.98,715.9
E927.4,E927
E992,E990-E999.9
531.10,531.1
016.34,016.3
761.1,761
03.93,03.9
453.84,453.8
826.0,826
636.01,636.0
775.81,775.8
828.1,828
V61.11,V61.1
V07.59,V07.5
123.0,123
201.25,201.2
648.51,648.5
04.73,04.7
992,990-995.99
914.5,914
307.21,307.2
307.23,307.2
339.89,339.8
585.5,585
V72.41,V72.4
659.81,659.8
16.99,16.9
642.9,642
211.5,211
081.0,081
539,530-539.99
225.9,225
634.21,634.2
79.25,79.2
813.06,813.0
438.7,438
11.39,11.3
727.63,727.6
711.41,711.4
778.8,778
362.61,362.6
664.80,664.8
305.41,305.4
003.22,003.2
784.0,784
200.18,200.1
015.70,015.7
173.39,173.3
84.5,84
88.43,88.4
38.61,38.6
04.76,04.7
410.0,410
750.1,750
404.91,404.9
92.21,92.2
442.82,442.8
815.0,815
69.2,69
442.84,442.8
296.05,296.0
296.03,296.0
83.03,83.0
719.36,719.3
719.34,719.3
112.0,112
741.03,741.0
V61.41,V61.4
39.57,39.5
786.30,786.3
520.8,520
V49.0,V49
191.8,191
099.49,099.4
E829.4,E829
995.69,995.6
767.5,767
E945.5,E945
E945.3,E945
301.22,301.2
854.09,854.0
050.2,050
89.0,89
E996.1,E996
906.6,906
767.8,767
716.63,716.6
653.80,653.8
99.95,99.9
008.46,008.4
008.44,008.4
773.0,773
413.1,413
753.2,753
11.9,11
214.9,214
455.2,455
642.50,642.5
801.55,801.5
115.1,115
404.03,404.0
91.06,91.0
00.31,00.3
250,249-259.99
37,35-39.99
851.92,851.9
668.0,668
789.40,789.4
523.9,523
E998,E990-E999.9
952.01,952.0
666.04,666.0
81.98,81.9
81.82,81.8
339.2,339
E006.4,E006
V18.2,V18
00.91,00.9
805.16,805.1
6,2
839.11,839.1
29.39,29.3
474.11,474.1
660.93,660.9
320.81,320.8
660.91,660.9
666.2,666
801.85,801.8
V89,V89-V89.99
402.1,402
742.2,742
722.4,722
80.01,80.0
90.13,90.1
664.24,664.2
V16.4,V16
E930.0,E930
995.0,995
4,3
678-679.99,630-679.99
733.15,733.1
444.2,444
173.69,173.6
637.2,637
997.1,997
977.3,977
21.07,21.0
91.0,91
826,820-829.99
438.30,438.3
648.5,648
308.4,308
V73.6,V73
942,940-949.99
200.48,200.4
79.85,79.8
305.80,305.8
67.62,67.6
88.90,88.9
29.9,29
86.92,86.9
804.95,804.9
V58.77,V58.7
V58.75,V58.7
783.41,783.4
V73.9,V73
91.6,91
388.01,388.0
371.1,371
975.5,975
98.14,98.1
747.60,747.6
944.13,944.1
711.4,711
41.42,41.4
059.21,059.2
32,30-34.99
567.81,567.8
759.9,759
646.7,646
3,7
394.9,394
736.30,736.3
44.69,44.6
E820.0,E820
718.57,718.5
795,790-796.99
770.87,770.8
770.85,770.8
141.8,141
820-829.99,800-829.99
64.2,64
385.83,385.8
852.30,852.3
297.2,297
550.13,550.1
16.49,16.4
76.3,76
550.11,550.1
852.32,852.3
637.5,637
931,930-939.99
015,010-018.99
V42.8,V42
V62.6,V62
63.99,63.9
964.2,964
99.98,99.9
87.75,87.7
E860.4,E860
788.63,788.6
718.87,718.8
017.11,017.1
707,700-709.99
295.4,295
209.2,209
378,360-379.99
94.38,94.3
09.73,09.7
90.73,90.7
96.03,96.0
279.09,279.0
996.51,996.5
E826.2,E826
833.12,833.1
E826.0,E826
833.10,833.1
277.02,277.0
277.00,277.0
011.5,011
724.09,724.0
471.0,471
18.01,18.0
264.3,264
29.99,29.9
120,120-129.99
173.0,173
376.50,376.5
036.40,036.4
91.53,91.5
E885.9,E885
13.51,13.5
839.41,839.4
96.1,96
692.9,692
277.7,277
004,001-009.99
876.0,876
528.72,528.7
274.82,274.8
969.4,969
648.10,648.1
686.01,686.0
953.2,953
E994.9,E994
E953.9,E953
880.1,880
264.6,264
244.8,244
804.39,804.3
551.3,551
474.1,474
659.51,659.5
89.5,89
802.32,802.3
045.90,045.9
71.3,71
296.61,296.6
795.31,795.3
38.14,38.1
275.9,275
711.00,711.0
589,580-589.99
382.02,382.0
593.4,593
253.3,253
676,670-677.99
901.82,901.8
86.95,86.9
52.94,52.9
24.39,24.3
51.10,51.1
85.11,85.1
956.3,956
635.00,635.0
97.21,97.2
176.1,176
363.40,363.4
295.14,295.1
V52.1,V52
64.92,64.9
33.52,33.5
07.9,07
639.5,639
11.61,11.6
45.62,45.6
656.83,656.8
846.8,846
525.50,525.5
996.95,996.9
367.9,367
996.93,996.9
345.71,345.7
850.11,850.1
832.00,832.0
10,08-16.99
6,1
770.6,770
662.03,662.0
E007.1,E007
170-176.99,140-239.99
373.1,373
77.82,77.8
188.1,188
41.99,41.9
516.30,516.3
904,900-904.99
724.4,724
744.2,744
404.1,404
940-949.99,800-999.99
87.06,87.0
364.03,364.0
86.26,86.2
291.81,291.8
755.5,755
086.4,086
508.8,508
797,797-799.99
143.8,143
968.3,968
017.55,017.5
99.73,99.7
015.75,015.7
015.73,015.7
99.60,99.6
173.02,173.0
V69.8,V69
711.44,711.4
331.0,331
671.1,671
94.29,94.2
711.46,711.4
93.33,93.3
851.99,851.9
95.31,95.3
002.2,002
709,700-709.99
651.03,651.0
682.4,682
713.4,713
E945.8,E945
371.16,371.1
07.83,07.8
39.86,39.8
569.81,569.8
730.73,730.7
635.42,635.4
781.9,781
94.2,94
V10.0,V10
122,120-129.99
242.90,242.9
74.1,74
378.50,378.5
V58.5,V58
521.31,521.3
648.93,648.9
752.49,752.4
752.47,752.4
87.6,87
27.79,27.7
660.1,660
48.91,48.9
E007,E001-E030.9
764.95,764.9
716.68,716.6
97.65,97.6
384.00,384.0
V44.2,V44
671.4,671
331.3,331
92.18,92.1
254.1,254
09.51,09.5
38.05,38.0
369,360-379.99
04.04,04.0
28,21-29.99
V10.3,V10
E850.1,E850
V91.19,V91.1
838.0,838
770.9,770
353.6,353
279.00,279.0
013.5,013
59.99,59.9
717.84,717.8
86.70,86.7
835.10,835.1
801.20,801.2
295.44,295.4
209.24,209.2
011.54,011.5
678,678-679.99
011.56,011.5
02.39,02.3
736.3,736
812.50,812.5
237.6,237
V27.7,V27
80.30,80.3
757.31,757.3
212.0,212
719.40,719.4
716.8,716
070.30,070.3
V02.1,V02
839.16,839.1
02.9,02
730-739.99,710-739.99
46.96,46.9
410.60,410.6
945.34,945.3
77.48,77.4
E863.9,E863
887.3,887
V13.4,V13
300.5,300
635.81,635.8
82.0,82
796.0,796
099.51,099.5
V25.9,V25
524.71,524.7
34.29,34.2
524.73,524.7
433.9,433
804.30,804.3
390-459.99,001-999.99
880.12,880.1
478.2,478
808.49,808.4
749.02,749.0
87.53,87.5
303.91,303.9
85.55,85.5
667,660-669.99
E941.0,E941
40.62,40.6
302.73,302.7
730.17,730.1
81.26,81.2
036.4,036
760.76,760.7
93.36,93.3
309.21,309.2
201.0,201
81.13,81.1
016.9,016
377.73,377.7
25.02,25.0
E831.0,E831
V76.51,V76.5
V09,V07-V09.99
V02.4,V02
E971,E970-E978.9
799.1,799
459.0,459
646.30,646.3
041,030-041.99
212.3,212
34.8,34
094.0,094
642.94,642.9
15.5,15
72.52,72.5
904.0,904
209.63,209.6
81.2,81
57.22,57.2
965,960-979.99
E820.3,E820
606.0,606
2,4
E820.5,E820
04.07,04.0
464.30,464.3
V86,V86-V86.99
718.22,718.2
127.1,127
756.13,756.1
999.49,999.4
334.4,334
013.10,013.1
051.01,051.0
944.16,944.1
569.8,569
V19.8,V19
944.18,944.1
804.60,804.6
345.7,345
098.35,098.3
711.85,711.8
781.91,781.9
364.61,364.6
319,317-319.99
79.16,79.1
45.15,45.1
79.00,79.0
64.45,64.4
005.9,005
965.01,965.0
668.92,668.9
668.90,668.9
E965.3,E965
788.1,788
448.0,448
E861,E860-E869.9
428.2,428
674.12,674.1
910-919.99,800-999.99
083.0,083
57.82,57.8
V15.09,V15.0
35.91,35.9
621.4,621
815.04,815.0
38.52,38.5
300.10,300.1
833.15,833.1
V13.02,V13.0
E988.0,E988
527.7,527
77.35,77.3
887.6,887
800.41,800.4
054.13,054.1
E947.2,E947
720.9,720
82.6,82
950.2,950
34.89,34.8
7,1
995.60,995.6
997.72,997.7
314.9,314
170.0,170
65.25,65.2
99.26,99.2
12.98,12.9
115.14,115.1
381.0,381
525.9,525
99.29,99.2
67.0,67
668.04,668.0
054.43,054.4
90.01,90.0
45.02,45.0
754.42,754.4
377.15,377.1
736.74,736.7
77.95,77.9
655.80,655.8
333.81,333.8
995.90,995.9
371.72,371.7
744.89,744.8
491.8,491
7,1
094.3,094
E837.0,E837
202.18,202.1
187.7,187
E837.2,E837
99.2,99
03.71,03.7
42-54.99,00-99.99
202.16,202.1
215.4,215
786.0,786
030,030-041.99
303.9,303
874.5,874
V21.31,V21.3
617,617-629.99
569.42,569.4
81.73,81.7
646.60,646.6
410.02,410.0
459.3,459
712.23,712.2
V53.99,V53.9
712.21,712.2
943.39,943.3
803.83,803.8
E905.2,E905
478.21,478.2
923.21,923.2
651.61,651.6
100.81,100.8
366.15,366.1
648.54,648.5
99.8,99
388.45,388.4
012.33,012.3
944.57,944.5
012.31,012.3
755.2,755
775.0,775
915,910-919.99
88.21,88.2
601.9,601
86.23,86.2
757.3,757
597.89,597.8
649.70,649.7
426.4,426
V10.69,V10.6
989.82,989.8
202.48,202.4
202.46,202.4
715.33,715.3
V77.7,V77
606,600-608.99
823.9,823
979.3,979
10.21,10.2
241,240-246.99
79.60,79.6
E850-E858.9,E000-E999.9
875.0,875
396.1,396
E985.1,E985
18.19,18.1
E944.3,E944
284.19,284.1
952.2,952
647.12,647.1
647.10,647.1
537.0,537
676.8,676
999.70,999.7
659.60,659.6
172.0,172
623.4,623
016.11,016.1
963.5,963
717.89,717.8
016.13,016.1
370.60,370.6
759.0,759
208.2,208
97.3,97
851.62,851.6
214.3,214
201.04,201.0
77.26,77.2
77.10,77.1
722.9,722
088.82,088.8
307.7,307
878.3,878
V04.4,V04
906.0,906
V72.9,V72
5,1
569.84,569.8
716.01,716.0
E018.1,E018
569.86,569.8
716.03,716.0
710.4,710
55.92,55.9
46.74,46.7
E967.0,E967
530.81,530.8
305.6,305
665.5,665
12.73,12.7
12.89,12.8
636.12,636.1
636.10,636.1
34.51,34.5
00.66,00.6
V61.20,V61.2
99.04,99.0
161.0,161
96.43,96.4
619,617-629.99
305.9,305
945.09,945.0
141.2,141
06.31,06.3
330,330-337.99
21.04,21.0
V53.7,V53
748.0,748
680.9,680
634.00,634.0
77.70,77.7
864.0,864
87.82,87.8
55.95,55.9
E018,E001-E030.9
E881,E880-E888.9
84.4,84
032,030-041.99
288.50,288.5
E850.6,E850
65.1,65
360.19,360.1
V61.9,V61
206.1,206
299.80,299.8
385.23,385.2
88.78,88.7
045.11,045.1
385.21,385.2
E816.2,E816
97.39,97.3
598.01,598.0
634.7,634
164.1,164
V12.69,V12.6
608,600-608.99
E968.6,E968
755.24,755.2
00.6,00-00.99
130.2,130
07.14,07.1
719.43,719.4
232.8,232
717.2,717
E925.2,E925
641.11,641.1
945.39,945.3
E925.0,E925
E887,E880-E888.9
388.2,388
910.4,910
88.65,88.6
86.67,86.6
716.40,716.4
099.56,099.5
597.80,597.8
759.3,759
599.89,599.8
274.9,274
379.13,379.1
379.15,379.1
305.20,305.2
381.04,381.0
381.02,381.0
30.22,30.2
535.2,535
411.81,411.8
158.9,158
567.21,567.2
603.9,603
016.43,016.4
E909,E900-E909.9
210.5,210
744.24,744.2
404.12,404.1
658.81,658.8
153.1,153
293.81,293.8
801.64,801.6
801.62,801.6
42.92,42.9
V54.1,V54
48.22,48.2
72.2,72
V11.9,V11
357.4,357
017.3,017
913.5,913
516.0,516
377.2,377
05.19,05.1
V15.41,V15.4
660.70,660.7
V53.32,V53.3
302.89,302.8
370.02,370.0
711.88,711.8
77.73,77.7
010.12,010.1
799.55,799.5
53.84,53.8
312.31,312.3
955.6,955
E874.9,E874
634.30,634.3
368.13,368.1
00.53,00.5
362.70,362.7
626.8,626
147.9,147
86.01,86.0
E831.5,E831
647.51,647.5
200.27,200.2
E831.3,E831
839.6,839
906,905-909.99
577,570-579.99
263.9,263
E942.9,E942
814.0,814
99.51,99.5
06.5,06
V48.0,V48
97.53,97.5
190.8,190
84.80,84.8
763.83,763.8
91.43,91.4
75.62,75.6
V59.3,V59
825.3,825
V10.04,V10.0
3,0
122.3,122
647.81,647.8
924.8,924
E982,E980-E989.9
388.5,388
333.99,333.9
40.59,40.5
875,870-879.99
221.8,221
349.81,349.8
451.1,451
111.0,111
E965.8,E965
386.4,386
335.23,335.2
E924.8,E924
335.21,335.2
13.41,13.4
808.8,808
752.51,752.5
783.9,783
06,06-07.99
83.65,83.6
115.19,115.1
V37.0,V37
013.54,013.5
838.04,838.0
29.52,29.5
39.64,39.6
26.91,26.9
60.94,60.9
652.80,652.8
97.56,97.5
91.46,91.4
06.81,06.8
756.59,756.5
839.20,839.2
306.53,306.5
913.8,913
017.6,017
E878.3,E878
671.14,671.1
E837.7,E837
03.98,03.9
E837.5,E837
37.99,37.9
709.3,709
864,860-869.99
653.03,653.0
059.00,059.0
580.81,580.8
89.46,89.4
458,451-459.99
362.14,362.1
E870.1,E870
755.63,755.6
36.15,36.1
48.25,48.2
14.24,14.2
355.6,355
E814.8,E814
304.43,304.4
304.41,304.4
772.9,772
357.7,357
719.82,719.8
719.84,719.8
304.73,304.7
00.19,00.1
948.93,948.9
12.29,12.2
840.7,840
994.0,994
365.24,365.2
743.47,743.4
46.87,46.8
800.85,800.8
511.9,511
665.2,665
V04.1,V04
E940,E930-E949.9
346.00,346.0
902.10,902.1
55.32,55.3
89.33,89.3
305.91,305.9
256.1,256
213.9,213
369.3,369
V46.2,V46
82.85,82.8
801.06,801.0
84.83,84.8
435.9,435
795.8,795
996.1,996
671.44,671.4
89.4,89
58.0,58
93.11,93.1
3,0
E810.0,E810
737.39,737.3
943.13,943.1
748.69,748.6
974.5,974
13.69,13.6
994.3,994
908.1,908
098.1,098
12.8,12
079.59,079.5
239.0,239
524.59,524.5
V61.6,V61
197.6,197
44.40,44.4
676.5,676
642.6,642
745,740-759.99
V35.2,V35
V15.4,V15
35.22,35.2
380,380-389.99
E876.1,E876
01.21,01.2
V17.5,V17
795.10,795.1
806.28,806.2
13.6,13
313.8,313
70.62,70.6
V87.39,V87.3
977.8,977
813.41,813.4
851.32,851.3
401.1,401
V88,V88-V88.99
82.72,82.7
E818.4,E818
863.80,863.8
010.81,010.8
432.0,432
24.9,24
84.53,84.5
719.04,719.0
160.4,160
E007.6,E007
81.92,81.9
733.41,733.4
E915,E910-E915.9
99.48,99.4
282.8,282
171.7,171
782.62,782.6
653.20,653.2
883.2,883
832.03,832.0
V30.01,V30.0
621.35,621.3
238.7,238
722.11,722.1
789.5,789
647.03,647.0
647.01,647.0
914.2,914
V72.11,V72.1
201.92,201.9
201.90,201.9
69.23,69.2
839.1,839
585.2,585
225.3,225
03.90,03.9
301.3,301
016.02,016.0
91.16,91.1
06.51,06.5
016.04,016.0
E881.1,E881
653.9,653
15.12,15.1
368.60,368.6
525.53,525.5
256.4,256
00.41,00.4
339,339-339.99
236.6,236
E825.8,E825
236.9,236
988.0,988
183.3,183
437.2,437
E880.9,E880
072.2,072
13.01,13.0
80.77,80.7
359.24,359.2
V09.80,V09.8
645.21,645.2
379.04,379.0
E909.1,E909
45.94,45.9
E805,E800-E807.9
642.20,642.2
660.31,660.3
94.52,94.5
91.03,91.0
209.29,209.2
435.1,435
795.0,795
801.23,801.2
207.20,207.2
852.4,852
664.50,664.5
362.31,362.3
637,634-639.99
534.6,534
56.86,56.8
24.99,24.9
87.38,87.3
272,270-279.99
V73.99,V73.9
951.9,951
790.91,790.9
3,4
841.1,841
205.8,205
88.40,88.4
711.49,711.4
67.12,67.1
91.1,91
V15.7,V15
33.27,33.2
778.5,778
865.09,865.0
977.0,977
743.64,743.6
312.22,312.2
010.03,010.0
711.79,711.7
99.92,99.9
378.85,378.8
378.83,378.8
E821.0,E821
E029.1,E029
33.71,33.7
647.42,647.4
764.2,764
79.82,79.8
45.81,45.8
282.40,282.4
424.1,424
924,920-924.99
095.1,095
89.06,89.0
653.50,653.5
90.23,90.2
078.6,078
367.53,367.5
274.11,274.1
126.1,126
940.9,940
626,617-629.99
523.6,523
812.53,812.5
659.2,659
194.6,194
679.0,679
261,260-269.99
56.89,56.8
848,840-848.99
76.4,76
030.1,030
80.11,80.1
E884.3,E884
277.1,277
V67.2,V67
852.00,852.0
365.73,365.7
722.1,722
053.0,053
12,08-16.99
680-686.99,680-709.99
331.81,331.8
E820.8,E820
201.21,201.2
523.20,523.2
288.4,288
78.67,78.6
718.27,718.2
65.94,65.9
084.1,084
249.71,249.7
09.83,09.8
675.24,675.2
315.34,315.3
141.5,141
315.32,315.3
013.15,013.1
998.82,998.8
047.8,047
387.9,387
676.83,676.8
801.53,801.5
163.8,163
648.2,648
91.63,91.6
837,830-839.99
646.24,646.2
604.99,604.9
660.61,660.6
953,950-957.99
E029,E001-E030.9
745.0,745
711.1,711
44.00,44.0
04.3,04
97.31,97.3
382.1,382
16.4,16
211,210-229.99
629.0,629
V10.90,V10.9
380.16,380.1
969.1,969
304.32,304.3
521.08,521.0
V85-V85.99,V01-V91.99
924.01,924.0
728.5,728
617.4,617
652.43,652.4
152.8,152
87.85,87.8
E861.6,E861
739.8,739
54.12,54.1
89.50,89.5
804.65,804.6
E868.0,E868
81.45,81.4
927.0,927
31.79,31.7
84.06,84.0
300.13,300.1
815.09,815.0
E922.2,E922
300.15,300.1
011.2,011
96.16,96.1
958.1,958
E824.4,E824
200,200-208.99
593.1,593
V80.01,V80.0
17.8,17
89.53,89.5
55.52,55.5
714.2,714
71.4,71
V65.4,V65
692.6,692
013.45,013.4
38.24,38.2
V67.5,V67
800.46,800.4
416.2,416
277.4,277
743.06,743.0
E995.9,E995
670.84,670.8
E884,E880-E888.9
286.6,286
39.42,39.4
389,380-389.99
728.8,728
039.9,039
652.73,652.7
788.33,788.3
788.31,788.3
51.89,51.8
680.1,680
32.59,32.5
E965.6,E965
19.54,19.5
38.84,38.8
999.31,999.3
16.93,16.9
V36.00,V36.0
891.1,891
E812.2,E812
366.9,366
838.02,838.0
995.93,995.9
655.83,655.8
84.0,84
368.30,368.3
102.8,102
927.3,927
8,5
756,740-759.99
368.32,368.3
907.5,907
813.30,813.3
813.32,813.3
851.23,851.2
391,390-392.99
398.91,398.9
V70,V70-V82.99
147.1,147
520-579.99,001-999.99
093,090-099.99
54.72,54.7
016.60,016.6
697.8,697
903,900-904.99
956.0,956
712.26,712.2
20.71,20.7
712.28,712.2
948.84,948.8
750.19,750.1
728.10,728.1
802.7,802
800.76,800.7
760.4,760
629.3,629
666.30,666.3
894.2,894
808.0,808
97.5,97
49.79,49.7
E946.5,E946
355.9,355
478.24,478.2
764.21,764.2
E905.7,E905
V01.84,V01.8
744.41,744.4
191.2,191
V18.59,V18.5
134.0,134
E807.9,E807
45.34,45.3
79.35,79.3
516.35,516.3
227.4,227
802.30,802.3
11.49,11.4
453.52,453.5
249.7,249
V03.8,V03
E928.4,E928
E935.8,E935
200.44,200.4
E993,E990-E999.9
250.83,250.8
925.2,925
534.91,534.9
83.13,83.1
332.1,332
11.4,11
381.51,381.5
379.60,379.6
664.9,664
379.62,379.6
295.12,295.1
52.82,52.8
654.71,654.7
V65.44,V65.4
370.63,370.6
300.89,300.8
E985.6,E985
E985.4,E985
488.12,488.1
93.46,93.4
707.0,707
574.50,574.5
V27.4,V27
716.2,716
041.83,041.8
736.0,736
V86.0,V86
718.3,718
750.8,750
353.3,353
642.23,642.2
V15.05,V15.0
120.0,120
94.26,94.2
V69.5,V69
28.91,28.9
V49.7,V49
92.28,92.2
711.14,711.1
705.89,705.8
682.1,682
342.0,342
08,08-16.99
V21.0,V21
999.75,999.7
070.4,070
V54.12,V54.1
87.63,87.6
279.4,279
97.75,97.7
6,5
050.9,050
85.52,85.5
070.7,070
282.45,282.4
659.93,659.9
806.10,806.1
779.31,779.3
762.4,762
459.39,459.3
57.32,57.3
651.3,651
E862.3,E862
81.23,81.2
376.2,376
03.21,03.2
E832.0,E832
171,170-176.99
V55.2,V55
804.00,804.0
202,200-208.99
716.38,716.3
716.36,716.3
E898.1,E898
980.1,980
82.1,82
E960.1,E960
011.24,011.2
15.09,15.0
E891.9,E891
117.9,117
728.84,728.8
530.19,530.1
941.41,941.4
E821.5,E821
04.01,04.0
38.02,38.0
62.0,62
146.9,146
007.1,007
81.3,81
V61.25,V61.2
648.63,648.6
804.7,804
335.19,335.1
334.1,334
834,830-839.99
674.2,674
34.99,34.9
V13.1,V13
887.0,887
77.45,77.4
300.2,300
80.08,80.0
762.7,762
005.3,005
345.4,345
813.18,813.1
366.11,366.1
45.25,45.2
79.10,79.1
742.9,742
558.2,558
811.11,811.1
007.4,007
664.94,664.9
073.8,073
362.75,362.7
02.06,02.0
93.90,93.9
758,740-759.99
104.8,104
444.9,444
E972,E970-E978.9
551.02,551.0
016.46,016.4
787.60,787.6
15.6,15
27.7,27
705.2,705
149.1,149
746.09,746.0
V81.6,V81
719.48,719.4
716.5,716
757.39,757.3
737.21,737.2
V07.9,V07
574.80,574.8
952.15,952.1
663.2,663
88.97,88.9
018.02,018.0
744.29,744.2
E879.0,E879
642.64,642.6
642.62,642.6
052,050-059.99
99.23,99.2
